N,total_encryption_time_s,mean_encryption_time_per_ballot_s,decryption_time_s,mean_decryption_time_per_ballot_s,peak_memory_bytes,throughput_ballots_per_s,tally_correct,ciphertext_exact_block_match
100,0.00020370999999386186,2.0370999999386184e-06,0.0016874589999957834,1.6874589999957833e-05,4512,490893.91783914965,True,True
500,0.00011183499999845026,2.236699999969005e-07,0.008779849999996259,1.7559699999992516e-05,20480,4470872.267241281,True,True
1000,0.00021643400000925794,2.1643400000925796e-07,0.017080187999994223,1.7080187999994223e-05,40480,4620346.156136397,True,True
5000,0.001396374999998784,2.792749999997568e-07,0.07926939499999719,1.5853878999999438e-05,200480,3580700.0268583684,True,True
10000,0.0011535619999989422,1.1535619999989422e-07,0.15996057399999586,1.5996057399999586e-05,400480,8668801.503524883,True,True
